period,demand,DC_jobs,DC_idle_energy,DC_active_energy,DC_energy,DC_op_co2,DC_emb_co2,DC_idle_co2,SDC_jobs,SDC_idle_energy,SDC_active_energy,SDC_energy,SDC_op_co2,SDC_emb_co2,SDC_idle_co2,EDGE_ZONE1_jobs,EDGE_ZONE1_idle_energy,EDGE_ZONE1_active_energy,EDGE_ZONE1_energy,EDGE_ZONE1_op_co2,EDGE_ZONE1_emb_co2,EDGE_ZONE1_idle_co2,EDGE_ZONE2_jobs,EDGE_ZONE2_idle_energy,EDGE_ZONE2_active_energy,EDGE_ZONE2_energy,EDGE_ZONE2_op_co2,EDGE_ZONE2_emb_co2,EDGE_ZONE2_idle_co2,EDGE_ZONE3_jobs,EDGE_ZONE3_idle_energy,EDGE_ZONE3_active_energy,EDGE_ZONE3_energy,EDGE_ZONE3_op_co2,EDGE_ZONE3_emb_co2,EDGE_ZONE3_idle_co2,total_energy,total_co2
12,5079681.274900398,2246400.0,1.04,60.4032,61.4432,1.4315558400000001,0.41600000000000004,0.024648,2248560.0,12.492,262.332,274.824,33.1587648,28.454,1.5789888,0.0,16.6665,0.0,16.6665,0.0,0.0,2.50164165,584721.274900398,3.67269389110226,519.75224435591,523.4249382470123,10.862821907038517,25.98761221779547,0.07675930232403723,0.0,16.6665,0.0,16.6665,0.0,0.0,4.164125025,0,108.65691754215803
13,4741035.856573705,2246400.0,1.04,60.4032,61.4432,1.4496768,0.41600000000000004,0.02496,2248560.0,12.492,262.332,274.824,33.578496,28.454,1.5989760000000002,0.0,16.6665,0.0,16.6665,0.0,0.0,2.533308,246075.856573705,11.1981476316955,218.734094732182,229.9322423638775,4.779339969898176,10.936704736609112,0.24467952575254667,0.0,16.6665,0.0,16.6665,0.0,0.0,4.227457725,0,88.24359875725983
14,4402390.438247012,2246400.0,1.04,60.4032,61.4432,1.4315558400000001,0.41600000000000004,0.024648,2155990.43824701,13.2634130146082,251.532217795485,264.7956308100932,31.793672329349306,27.282595051891178,1.6764954050464766,0.0,16.6665,0.0,16.6665,0.0,0.0,2.50164165,0.0,16.6665,0.0,16.6665,0.0,0.0,0.364163025,0.0,16.6665,0.0,16.6665,0.0,0.0,4.259124075,0,69.74989537628696
15,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.41343488,0.41600000000000004,0.024336,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,26.460543490039775,22.997267227386768,2.0074651792828715,0.0,16.6665,0.0,16.6665,0.0,0.0,2.4699752999999998,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,4.227457725,0,60.364809651709415
16,3725099.6015936257,2246400.0,1.04,60.4032,61.4432,1.38625344,0.41600000000000004,0.023868,1478699.60159363,18.9075033200531,172.514953519256,191.42245683930912,21.115830310756937,18.711939402882358,2.3142784063744997,0.0,16.6665,0.0,16.6665,0.0,0.0,2.4224757749999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,4.132458675,0,50.8714338600138
17,3386454.183266932,2246400.0,1.04,60.4032,61.4432,1.33189056,0.41600000000000004,0.022931999999999998,1140054.18326693,21.7295484727756,133.006321381142,154.7358698539176,15.641543394422298,14.426611578377816,2.5553949003984107,0.0,16.6665,0.0,16.6665,0.0,0.0,2.327476725,0.0,16.6665,0.0,16.6665,0.0,0.0,0.332496675,0.0,16.6665,0.0,16.6665,0.0,0.0,4.021626449999999,0,41.075972283198524
18,3386454.183266932,2246400.0,1.04,60.4032,61.4432,1.27752768,0.41600000000000004,0.021995999999999998,1140054.18326693,21.7295484727756,133.006321381142,154.7358698539176,15.003113051792816,14.426611578377816,2.451093067729088,0.0,16.6665,0.0,16.6665,0.0,0.0,2.2324776749999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.3166635,0.0,16.6665,0.0,16.6665,0.0,0.0,3.8632946999999995,0,40.00877725289971
19,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.2322252800000002,0.41600000000000004,0.021216000000000002,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,23.06816611952186,22.997267227386768,1.7500978486055803,0.0,16.6665,0.0,16.6665,0.0,0.0,2.1533118,0.0,16.6665,0.0,16.6665,0.0,0.0,0.30083032499999995,0.0,16.6665,0.0,16.6665,0.0,0.0,3.70496295,0,55.644077550514204
20,4741035.856573705,2246400.0,1.04,60.4032,61.4432,1.18692288,0.41600000000000004,0.020436,2248560.0,12.492,262.332,274.824,27.4923936,28.454,1.3091616000000001,0.0,16.6665,0.0,16.6665,0.0,0.0,2.074145925,246075.856573705,11.1981476316955,218.734094732182,229.9322423638775,3.948150409915885,10.936704736609112,0.20212656475210378,0.0,16.6665,0.0,16.6665,0.0,0.0,3.5466311999999998,0,79.5866729162771
21,5418326.693227092,2246400.0,1.04,60.4032,61.4432,1.15068096,0.41600000000000004,0.019812,2248560.0,12.492,262.332,274.824,26.6529312,28.454,1.2691872000000002,173374.193227092,12.8137401505091,154.110393979637,166.9241341301461,18.593419033643205,7.705519698981867,1.5459777491589228,749992.5,0.0,666.66,666.66,12.033212999999998,33.333,0.0,0.0,16.6665,0.0,16.6665,0.0,0.0,3.404132625,0,134.57787346678398
